id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00250000000041421000,00250000000041421004,9578791_4,2010-9-1,2011-1-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000041421000,00250000000041421005,9578791_5,1981-9-1,1984-8-1,00151000000000000000,四川省,00333333300004142000,四川省云阳师范学校,00333333300004142000,
00250000000032752000,00250000000032752001,9578819_1,1991-8-1,1994-6-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000032752000,00250000000032752002,9578819_2,1995-8-1,1997-12-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000042498000,00250000000042498001,9578868_1,1996-9-1,1998-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000042498000,00250000000042498003,9578868_3,1984-9-1,1987-7-1,00151000000000000000,四川省,00333333300000778000,四川省奉节师范学校,00333333300000778000,
00250000000042498000,00250000000042498005,9578868_5,1991-8-1,1993-8-1,00151000000000000000,四川省,00333333300004596000,四川省万县教育学院,00333333300004596000,
00215000000016423000,00215000000016423002,9578988_2,2007-1-1,2008-1-1,00113092200000000000,沧州市青县,00333333300000195000,中央党校一年制中青班,00333333300000195000,
00215000000016423000,00215000000016423004,9578988_4,1978-8-1,1982-8-1,00131020000000000000,上海市县,00333333300001703000,东北工学院金属材料系,00333333300001703000,
00250000000039674000,00250000000039674003,9579045_3,1995-8-1,1997-12-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000039674000,00250000000039674005,9579045_5,1972-5-1,1973-8-1,00151000000000000000,四川省,00333333300000778000,四川省奉节师范学校,00333333300000778000,
00250023400011137000,00250023400011137001,9579132_1,2000-3-1,2002-6-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250023400011137000,00250023400011137003,9579132_4,1980-9-1,1983-7-1,00151000000000000000,四川省,00333333300000031000,四川省万县农业学校,00333333300000031000,
00250023600015871000,00250023600015871001,9579751_1,1988-10-1,1990-10-1,00143092100000000000,益阳市南县,00333333300000133000,西南政法学院,00333333300000133000,
00250023600015871000,00250023600015871002,9579751_2,1996-7-1,1998-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000011808000,00250000000011808003,9580181_3,1996-8-1,1999-6-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000011808000,00250000000011808007,9580181_7,2001-9-1,2003-6-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000011808000,00250000000011808008,9580181_8,1978-9-1,1981-7-1,00151000000000000000,四川省,00333333300004597000,四川省万县水电学校,00333333300004597000,
00213000000028466000,00213000000028466001,9580372_1,1983-9-1,1985-7-1,00113000000000000000,河北省,00333333300000747000,河北省公安学校,00333333300000747000,
00250000000042588000,00250000000042588001,9580468_1,1995-9-1,1997-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000042588000,00250000000042588003,9580468_3,2005-5-1,2005-8-1,00131020000000000000,上海市县,00333333300000301000,美国加州大学,00333333300000301511,洛杉矶分校工商管理研修班
00250000000042588000,00250000000042588004,9580468_4,2009-3-1,2009-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000042588000,00250000000042588009,9580468_9,1989-8-1,1991-7-1,00151000000000000000,四川省,00333333300000045000,四川教育学院,00333333300000045000,
