id_index,officer_name,place_of_birth_id
"00200000000011329000","苏锦梁","00100000000000000000"
"00200000000011333000","侯习武","00100000000000000000"
"00200000000011341000","蒋开喜","00100000000000000000"
"00200000000011345000","周正清","00100000000000000000"
"00200000000011354000","臧伟","00100000000000000000"
"00200000000011363000","余正钧","00100000000000000000"
"00200000000011372000","胡士良","00100000000000000000"
"00200000000011428000","袁建芬","00100000000000000000"
"00200000000011453000","仵海洲","00100000000000000000"
"00200000000011458000","杨喜坤","00100000000000000000"
"00200000000011459000","马德毅","00100000000000000000"
"00200000000011463000","朱献福","00100000000000000000"
"00200000000011466000","哈维尔·佩雷斯·德奎利亚尔","00100000000000000000"
"00200000000011494000","孙喜运","00100000000000000000"
"00200000000011500000","苏海文","00100000000000000000"
"00200000000011511000","朱荻","00100000000000000000"
"00200000000011523000","魏旭东","00100000000000000000"
"00200000000011550000","李登来","00100000000000000000"
"00200000000011594000","郑之杰","00100000000000000000"
"00200000000011603000","傅建华","00100000000000000000"
"00200000000011605000","初国红","00100000000000000000"
"00200000000011622000","邸彦彪","00100000000000000000"
"00200000000011633000","马效华","00100000000000000000"
"00200000000011648000","盛静生","00100000000000000000"
"00200000000011660000","王昆声","00100000000000000000"
"00200000000011674000","巩安库","00100000000000000000"
"00200000000011683000","陆华裕","00100000000000000000"
"00200000000011732000","刘忠敏","00100000000000000000"
"00200000000011733000","郭德清","00100000000000000000"
"00200000000011739000","朱国材","00100000000000000000"
"00200000000011741000","陈旻湖","00100000000000000000"
"00200000000011743000","邹晓平","00100000000000000000"
"00200000000011770000","谢子龙","00100000000000000000"
"00200000000011772000","章梓茂","00100000000000000000"
"00200000000011775000","陆晋荣","00100000000000000000"
"00200000000011787000","于志群","00100000000000000000"
"00200000000011788000","丁昭静","00100000000000000000"
"00200000000011801000","韩加亮","00100000000000000000"
"00200000000011803000","蒋玉滨","00100000000000000000"
"00200000000011819000","张蓉蓉","00100000000000000000"
"00200000000011838000","吴欣娟","00100000000000000000"
"00200000000011843000","张闽生","00100000000000000000"
"00200000000011848000","黄怀宝","00100000000000000000"
"00200000000011888000","孙绍阳","00100000000000000000"
"00200000000011895000","考军校","00100000000000000000"
